position,overall,name,nation,club,age
CAM,76,Charles De Ketelaere,Belgium,Bergamo Calcio,22
CAM,54,Chay Cooper,England,Colchester,21
CAM,73,Chris Führich,Germany,VfB Stuttgart,25
CAM,65,Christian Alemán,Ecuador,Aucas,27
CAM,74,Christian Cueva,Peru,Alianza Lima,31
CAM,69,Christian Marrugo,Colombia,Santa Fe,38
CAM,55,Christie Ward,England,Wycombe,19
CAM,79,Christoph Baumgartner,Austria,RB Leipzig,24
CAM,59,Christopher Negele,Germany,Heidenheim,18
CAM,65,Chuca,Spain,Racing de Ferrol,26
CAM,65,Cihan Çanak,Belgium,Standard Liège,18
CAM,69,Cole Bassett,United States,Colorado Rapids,22
CAM,66,Cole Palmer,England,Chelsea,21
CAM,61,Connor Evans,Wales,AFC Wimbledon,26
CAM,71,Conor Chaplin,England,Ipswich,26
CAM,63,Conor Noß,Republic of Ireland,Blau-Weiss Linz,22
CAM,68,Constantin Budescu,Romania,Farul Constanța,34
CAM,66,Cosmin Matei,Romania,Sepsi OSK,32
CAM,67,Cristian Álvarez,Argentina,O. Petrolero,31
CAM,68,Cristian Benavente,Peru,Alianza Lima,29
CAM,71,Cristian Ortiz,Argentina,Barcelona SC,31
CAM,67,Cristian Volpato,Italy,Sassuolo,19
CAM,67,Cristóbal Jorquera,Chile,Club Magallanes,35
CAM,65,Crivellaro,Brazil,Chennaiyin FC,34
CAM,63,Cyril Zabou,France,FC Botoșani,27
CAM,81,Daichi Kamada,Japan,Latium,27
CAM,75,Damián Díaz,Ecuador,Barcelona SC,37
CAM,63,Dan Kemp,England,Swindon Town,24
CAM,67,Dan Nistor,Romania,FC Univ. Cluj,35
CAM,75,Dani de Wit,Holland,AZ,25
CAM,57,Dani González,Spain,R. Racing Club,21
CAM,83,Dani Olmo,Spain,RB Leipzig,25
CAM,67,Dani Ramírez,Spain,ŁKS Łódź,31
CAM,57,Daniel Bunk,Germany,Düsseldorf,19
CAM,61,Daniel Butterworth,England,Carlisle United,24
CAM,73,Daniel Cataño,Colombia,Millonarios,31
CAM,65,Daniel Crowley,England,Notts County,26
CAM,76,Dániel Gazdag,Hungary,Philadelphia,27
CAM,70,Daniel Johnson,Jamaica,Stoke City,31
CAM,59,Daniel Kyerewaa,Germany,Preußen Münster,22
CAM,66,Daniel Luna,Colombia,RCD Mallorca,20
CAM,66,Daniel Maldini,Italy,Empoli,21
CAM,70,Daniel Penha,Brazil,Western United,24
CAM,75,Daniel-Kofi Kyereh,Ghana,SC Freiburg,27
CAM,70,Danilo Santacruz,Paraguay,Dep. Pereira,28
CAM,55,Danish Farooq,India,Kerala Blasters,27
CAM,68,Darian Males,Switzerland,BSC Young Boys,22
CAM,52,Darius Lipsiuc,Republic of Ireland,St. Pats,18
CAM,60,Darragh Markey,Republic of Ireland,Drogheda United,26
CAM,61,Daryl Horgan,Republic of Ireland,Dundalk,31
CAM,73,David Barbona,Argentina,Defensa,28
CAM,75,David Silva,Colombia,Millonarios,36
CAM,65,Davide Voltan,Italy,Feralpisalò,28
CAM,60,Dawid Tkacz,Poland,Widzew Łódź,18
CAM,65,Dean Huiberts,Holland,PEC Zwolle,23
CAM,65,Deni Milošević,Bosnia and Herzegovina,Antalyaspor,28
CAM,69,Denis Thomalla,Germany,Heidenheim,31
CAM,64,Dennis Kaygin,Germany,SK Rapid Wien,19
CAM,75,Dennis Praet,Belgium,Leicester City,29
CAM,71,Désiré Doué,France,Stade Rennais FC,18
CAM,64,Diego Soto,Peru,Sporting Cristal,22
CAM,67,Dijon Kameri,Austria,RB Salzburg,19
CAM,72,Dimitrios Pelkas,Greece,Başakşehir,29
CAM,72,Dino Hotić,Bosnia and Herzegovina,Lech Poznań,28
CAM,57,Dion Kacuri,Switzerland,Grasshopper Club,19
CAM,75,Djordje Mihailovic,United States,AZ,24
CAM,72,Dominick Drexler,Germany,FC Schalke 04,33
CAM,70,Dominik Fitz,Austria,FK Austria Wien,24
CAM,65,Dominik Prokop,Austria,TSV Hartberg,26
CAM,82,Dominik Szoboszlai,Hungary,Liverpool,22
CAM,67,Donis Avdijaj,Kosovo,TSV Hartberg,27
CAM,59,Donny Bogicevic,Germany,Viktoria Köln,22
CAM,65,Doru Popadiuc,Romania,FC Univ. Cluj,28
CAM,62,Duan Liuyu,China PR,Wuhan 3 Towns,25
CAM,68,Duane Holmes,United States,Preston,28
CAM,68,Dylan Chambost,France,AS Saint-Étienne,26
CAM,61,Dylan Perera,Spain,CD Tenerife,20
CAM,79,Eberechi Eze,England,Crystal Palace,25
CAM,70,Edison Flores,Peru,Universitario,29
CAM,62,Edoardo Duca,Italy,Modena,26
CAM,75,Edu Expósito,Spain,RCD Espanyol,27
CAM,51,Eduard Lambrinoc,Romania,FC Voluntari,19
CAM,69,Eduardo Sosa,Venezuela,Deportes Tolima,27
CAM,80,Eljif Elmas,North Macedonia,Napoli FC,24
CAM,66,Elliot Embleton,England,Derby County,24
CAM,65,Elliot Lee,England,Wrexham AFC,28
CAM,56,Elvis Lindkvist,Sweden,IFK Norrköping,21
CAM,79,Emanuel Reynoso,Argentina,Minnesota United,27
CAM,72,Emanuel Vignato,Italy,Pisa,23
CAM,54,Emil Benny,India,Jamshedpur FC,23
CAM,80,Emil Forsberg,Sweden,RB Leipzig,31
CAM,70,Emiliano Marcondes,Denmark,AFC Bournemouth,28
CAM,74,Emiliano Vecchio,Argentina,Racing Club,34
CAM,72,Emre Akbaba,Turkey,Adana Demirspor,31
CAM,63,Engjëll Hoti,Germany,ŁKS Łódź,26
CAM,48,Engson Singh,India,ATK Mohun Bagan,20
CAM,71,Enzo Millot,France,VfB Stuttgart,21
CAM,66,Eric Bugale Kitolano,Norway,Molde FK,26
CAM,64,Erik Ahlstrand,Sweden,Halmstads BK,21
CAM,59,Erkan Eyibil,Turkey,Antalyaspor,22
CAM,64,Eroll Zejnullahu,Kosovo,1860 München,28
CAM,66,Erwin Junior Sánchez,Bolivia,O. Petrolero,31
CAM,56,Ethan Alagich,Australia,Adelaide United,19
CAM,62,Ethan Galbraith,Northern Ireland,Leyton Orient,22
CAM,56,Evan Eghosa,England,Coventry City,18
CAM,53,Evan McLaughlin,Republic of Ireland,Derry City,21
CAM,71,Ezequiel Bullaude,Argentina,Boca Juniors,22
CAM,68,Ezequiel Cañete,Argentina,Banfield,24
CAM,59,Ezequiel Forclaz,Argentina,Tigre,20
CAM,64,Fabian Herbers,Germany,Chicago Fire FC,30
CAM,74,Fabian Rieder,Switzerland,Stade Rennais FC,21
CAM,74,Fábio Carvalho,Portugal,RB Leipzig,21
CAM,77,Fábio Vieira,Portugal,Arsenal,23
CAM,72,Facundo Colidio,Argentina,River Plate,23
CAM,75,Facundo Farías,Argentina,Inter Miami CF,21
CAM,67,Favio Álvarez,Argentina,Colón,30
CAM,71,Federico Carrizo,Argentina,Cerro Porteño,32
CAM,64,Felipe Chamorro,Chile,Palestino,22
CAM,73,Filip Đuričić,Serbia,Panathinaikos,31
CAM,61,Filip Karbowy,Poland,Piast Gliwice,26
CAM,64,Filip Krastev,Bulgaria,LAFC,21
CAM,73,Filip Krovinović,Croatia,Hajduk Split,28
CAM,67,Filip Marchwiński,Poland,Lech Poznań,21
CAM,64,Filip Starzyński,Poland,Ruch Chorzów,32
CAM,57,Findlay Marshall,Scotland,Aberdeen,17
CAM,58,Finlay Pollock,Scotland,Hearts,19
CAM,73,Florent Mollet,France,FC Nantes,31
CAM,72,Florent Muslija,Kosovo,SC Paderborn 07,25
CAM,78,Florian Kainz,Austria,1. FC Köln,30
CAM,85,Florian Wirtz,Germany,Leverkusen,20
CAM,69,Fran Villalba,Spain,R. Sporting,25
CAM,61,Franchesco Flores,Peru,UCV,22
CAM,73,Francisco González Metilli,Argentina,Argentinos Jrs.,26
CAM,64,Franco Alfonso,Argentina,Huracán,21
CAM,70,Franco Fagúndez,Uruguay,Nacional,23
CAM,76,Franco Vázquez,Argentina,Cremonese,34
CAM,69,Franco Watson,Argentina,Lanús,21
CAM,65,Frank Castañeda,Colombia,Radomiak Radom,29
CAM,71,Fredrik Jensen,Finland,FC Augsburg,26
CAM,69,Gabriel Cortez,Ecuador,Barcelona SC,27
CAM,74,Gaël Kakuta,Congo DR,Amiens SC,32
CAM,72,Gaëtan Weissbeck,France,Bordeaux,26
CAM,67,Gaetano Oristanio,Italy,Cagliari,21
CAM,72,Gastón Pereiro,Uruguay,Cagliari,28
CAM,73,Gastón Ramírez,Uruguay,San Lorenzo,32
CAM,61,Gelardo,Spain,Villarreal CF B,21
CAM,72,Genki Haraguchi,Japan,VfB Stuttgart,32
CAM,66,George Hall,England,Birmingham City,19
CAM,63,George Lapslie,England,Gillingham,26
CAM,64,George Moncur,England,Leyton Orient,30
CAM,63,George Thomas,Wales,Cambridge Utd,26
CAM,69,Georgios Efrem,Cyprus,Apoel FC,34
CAM,65,Georgios Vrakas,Greece,PAOK FC,22
CAM,71,Gianluca Gaetano,Italy,Napoli FC,23
CAM,70,Giannis Konstantelias,Greece,PAOK FC,20
CAM,55,Gino Vivi,Costa Rica,LA Galaxy,22
CAM,69,Giorgi Chakvetadze,Georgia,Watford,24
CAM,81,Giovani Lo Celso,Argentina,Spurs,27
CAM,53,Glenn McConnell,Republic of Ireland,Cambridge Utd,18
CAM,70,Goh Young Jun,Korea Republic,Pohang Steelers,22
CAM,62,Gökcan Kaya,Turkey,Pendikspor,28
CAM,62,Göktan Gürpüz,Turkey,Trabzonspor,20
CAM,70,Gonzalo Castellani,Argentina,Defensa,36
CAM,67,Gonzalo Maroni,Argentina,San Lorenzo,24
CAM,66,Görkem Sağlam,Turkey,Hatayspor,25
CAM,64,Greg Kiltie,Scotland,St. Mirren,26
CAM,69,Greg Stewart,Scotland,Mumbai City FC,33
CAM,69,Grigoris Kastanos,Cyprus,Salernitana,25
CAM,68,Guillermo Hauche,Argentina,Gral. Caballero,30
CAM,64,Guillermo Pereira,Argentina,Belgrano,29
CAM,74,Guridi,Spain,D. Alavés,28
CAM,74,Guus Til,Holland,PSV,25
CAM,56,Hamad Al Abdan,Saudi Arabia,Al Khaleej,23
CAM,58,Hamza Anhari,Morocco,MSV Duisburg,19
CAM,60,Hamza Barry,Gambia,Vejle Boldklub,28
CAM,67,Hamza Rafia,Tunisia,Lecce,24
CAM,65,Harald Nilsen Tangen,Norway,Viking FK,22
CAM,65,Harrison Burrows,England,Peterborough,21
CAM,62,Harry Chapman,England,Bradford City,25
CAM,49,Harry O'Connor,Republic of Ireland,UCD AFC,18
CAM,77,Harvey Elliott,England,Liverpool,20
CAM,66,Harvey Knibbs,England,Reading,24
CAM,63,Harvey Vale,England,Bristol Rovers,20
CAM,57,Hassan Abu Sharara,Saudi Arabia,Damac FC,26
CAM,70,Håvard Nielsen,Norway,Hannover 96,30
CAM,81,Henrikh Mkhitaryan,Armenia,Inter,34
CAM,75,Heorhii Sudakov,Ukraine,Shakhtar Donetsk,21
CAM,64,Herald Marku,Albania,UTA Arad,27
CAM,60,Herman Geelmuyden,Norway,Stabæk Fotball,21
CAM,73,Hernán López Muñoz,Argentina,Godoy Cruz,23
CAM,73,Hong Hyeon Seok,Korea Republic,KAA Gent,24
CAM,76,Houssem Aouar,Algeria,Roma FC,25
CAM,49,Huang Cong,China PR,Nantong Zhiyun FC,22
CAM,59,Hugo Bolin,Sweden,Degerfors IF,20
CAM,70,Hugo Boumous,Morocco,ATK Mohun Bagan,28
CAM,64,Hugo Fargues,France,Yverdon Sport FC,31
CAM,72,Hugo Vetlesen,Norway,Club Brugge,23
CAM,52,Hwang Do Yun,Korea Republic,FC Seoul,20
CAM,62,Hwang Jae Hwan,Korea Republic,Ulsan Hyundai,22
CAM,73,Ianis Hagi,Romania,D. Alavés,24
CAM,61,Ibrahim Maza,Germany,Hertha Berlin,17
CAM,79,Ignacio Fernández,Argentina,River Plate,33
CAM,78,Igor Coronado,Brazil,Al Ittihad,31
CAM,61,Igor Strzałek,Poland,Legia Warszawa,19
CAM,73,Ilias Chair,Morocco,QPR,25
CAM,72,Immanuel Pherai,Holland,Hamburger SV,22
CAM,60,Irakli Yegoian,Georgia,FC Twente,19
CAM,62,Isaac Hutchinson,England,Walsall,23
CAM,55,Isaiah Parente,United States,Columbus Crew,23
CAM,80,Isco,Spain,Real Betis,31
CAM,60,Iulian Roșu,Romania,FC Dinamo 1948,29
CAM,63,Ivan Ćubelić,Croatia,Hajduk Split,20
CAM,71,Iván Tapia,Argentina,Barracas Central,24
CAM,72,Ivo Rodrigues,Portugal,Al Khaleej,28
CAM,62,Jack Lankester,England,Cambridge Utd,23
CAM,65,Jack Rudoni,England,Huddersfield,22
CAM,68,Jacobo Kouffati,Venezuela,Binacional,30
CAM,67,Jairo Vélez,Ecuador,UCV,28
CAM,69,Jake Brimmer,Australia,Melb. Victory,25
CAM,57,Jakub Jędrasik,Poland,Legia Warszawa,18
CAM,66,Jakub Kadak,Slovakia,FC Luzern,22
CAM,55,Jakub Snopczyński,Poland,Radomiak Radom,18
CAM,86,Jamal Musiala,Germany,FC Bayern München,20
CAM,84,James Maddison,England,Spurs,26
CAM,70,James McAtee,England,Sheffield Utd,20
CAM,57,James Waite,Wales,Newport County,24
CAM,68,Jamie Allen,England,Coventry City,28
CAM,58,Jamie Mullins,Republic of Ireland,Brighton,19
CAM,64,Jamie Walker,Scotland,Bradford City,30
CAM,63,Jan Shcherbakovski,Belarus,Dynamo Dresden,22
CAM,64,Jannenson Sarmiento,Colombia,Danubio,23
CAM,64,Jannes Wulff,Germany,VfL Osnabrück,24
CAM,60,Jarne Steuckers,Belgium,STVV,21
CAM,69,Jason Berthomier,France,Newcastle Jets,33
CAM,69,Jason Knight,Republic of Ireland,Bristol City,22
CAM,57,Jasper Pattenden,England,Wycombe,21
CAM,68,Javi Hernández,Spain,Bengaluru FC,34
CAM,69,Javi Muñoz,Spain,UD Las Palmas,28
CAM,61,Javier Uzeda,Bolivia,Bolívar,21
CAM,57,Jayden Clarke,England,Gillingham,22
CAM,59,Jayson Martínez,Venezuela,Metropolitanos,22
CAM,65,Jean-Mattéo Bahoya,France,Angers SCO,18
CAM,64,Jefferson Cáceres,Peru,Binacional,21
CAM,67,Jens Castrop,Germany,1. FC Nürnberg,20
CAM,72,Jeong Woo Yeong,Korea Republic,VfB Stuttgart,24
CAM,70,Jeremy Dudziak,Tunisia,Hertha Berlin,28
CAM,77,Jesper Lindstrøm,Denmark,Napoli FC,23
CAM,70,Jhojan Julio,Ecuador,LDU Quito,25
CAM,65,Jhon Marchán,Venezuela,Metropolitanos,25
CAM,56,JJ McKiernan,Northern Ireland,Morecambe,21
CAM,57,Joe O'Brien-Whitmarsh,Republic of Ireland,Cork City,18
CAM,60,Joe White,England,Crewe Alexandra,21
CAM,61,Joe-Joe Richardson,United States,SV Sandhausen,21
CAM,53,Joel Anker,England,MK Dons,18
CAM,70,Joel Soñora,United States,Huracán,27
CAM,68,Johan Bocanegra,Colombia,Dep. Pereira,24
CAM,64,Johan Mina,Ecuador,SV Werder Bremen,21
CAM,73,Jóhann Berg Guðmundsson,Iceland,Burnley,32
CAM,60,Johannes Yli-Kokko,Finland,Dundalk,22
CAM,63,John McAtee,England,Barnsley,24
CAM,60,John Patrick,Spain,Getafe CF,19
CAM,74,John Swift,England,West Brom,28
CAM,68,John Velásquez,Colombia,Farense,28
CAM,67,Jomaine Consbruch,Germany,Fürth,21
CAM,83,Jonas Hofmann,Germany,Leverkusen,31
CAM,61,Jonas Michelbrink,Germany,MSV Duisburg,22
CAM,59,Jonas Oehmichen,Germany,Dynamo Dresden,19
CAM,80,Jonathan Viera,Spain,UD Las Palmas,34
CAM,60,Jong-min Seo,Korea Republic,Dynamo Dresden,21
CAM,75,Joni Montiel,Spain,R. Valladolid CF,25
CAM,56,Jonny Yull,Australia,Adelaide United,18
CAM,62,Jordan James,Wales,Birmingham City,19
CAM,58,Jordan McEneff,Republic of Ireland,Derry City,22
CAM,64,Jordan Roberts,England,Stevenage,29
CAM,67,Jorge Grant,England,Hearts,28
CAM,68,Jorge Pombo,Spain,R. Racing Club,29
CAM,72,José Pozo,Spain,Rayo Vallecano,27
CAM,54,Josh Chambers,England,Gillingham,19
CAM,74,Josué,Portugal,Legia Warszawa,33
CAM,69,Juan Bauza,Argentina,FCU 1948,27
CAM,65,Juan Carlos Arce,Bolivia,Blooming,38
CAM,56,Juan Rubiano,Colombia,Deportes Tolima,21
CAM,84,Julian Brandt,Germany,Borussia Dortmund,27
CAM,69,Julian Green,United States,Fürth,28
CAM,66,Julian Günther-Schmidt,Germany,Saarbrücken,29
CAM,72,Julian Justvan,Germany,TSG Hoffenheim,25
CAM,72,Julien Ponceau,France,FC Lorient,22
CAM,64,Julius Biada,Germany,Saarbrücken,30
CAM,76,Junior Sornoza,Ecuador,Independiente DV,29
CAM,73,Jurgen Ekkelenkamp,Holland,Royal Antwerp FC,23
CAM,68,Kaan Caliskaner,Germany,Braunschweig,23
CAM,60,Kacper Urbański,Poland,Bologna,19
CAM,82,Kai Havertz,Germany,Arsenal,24
CAM,56,Kailin Barlow,Republic of Ireland,Sligo Rovers,20
CAM,79,Kaku,Paraguay,Al Ain FC,28
CAM,60,Kamarai Swyer,England,Crawley Town,20
CAM,72,Kamory Doumbia,Mali,Stade Brestois 29,20
CAM,56,Kang Yoon Gu,Korea Republic,Ulsan Hyundai,21
CAM,74,Kanya Fujimoto,Japan,Gil Vicente,24
CAM,59,Kas de Wit,Holland,N.E.C. Nijmegen,20
CAM,69,Kasey Palmer,Jamaica,Coventry City,26
CAM,60,Keith Ward,Republic of Ireland,Dundalk,32
CAM,53,Kenan Bilalovic,Sweden,IFK Värnamo,18
CAM,67,Kenzo Goudmijn,Holland,AZ,21
CAM,72,Kerim Mrabti,Sweden,KV Mechelen,29
CAM,69,Kevin Méndez,Uruguay,Peñarol,27
CAM,66,Kevin Pérez,Colombia,Deportes Tolima,26
CAM,72,Kevin Sandoval,Peru,Cienciano,26
CAM,59,Kevin Wiethaup,Germany,VfL Osnabrück,18
CAM,61,Khaled Al Blooshi,United Arab Emirates,Al Ain FC,24
CAM,53,Kiban Rai,Wales,Newport County,18
CAM,72,Kieran Dowell,England,Rangers,25
CAM,58,Kieron Evans,Wales,Cardiff City,21
CAM,56,Kim Gyu Hyeong,Korea Republic,Suwon FC,24
CAM,69,Kingsley Sarfo,Ghana,Apoel FC,28
CAM,54,Kitt Nelson,England,Preston,18
CAM,74,Knowledge Musona,Zimbabwe,Al Riyadh,33
CAM,65,Koki Hinokio,Japan,Stal Mielec,22
CAM,64,Kolja Pusch,Germany,MSV Duisburg,30
CAM,62,Kortajarena,Spain,SD Huesca,23
CAM,62,Kosta Barbarouses,New Zealand,Well. Phoenix,33
CAM,60,Kostandinos Grozos,Australia,Newcastle Jets,23
CAM,67,Kristian Eriksen,Norway,Molde FK,28
CAM,61,Kristijan Dobras,Austria,Blau-Weiss Linz,31
CAM,74,Kristoffer Zachariassen,Norway,Ferencvárosi TC,29
CAM,64,Krisztián Lisztes,Hungary,Ferencvárosi TC,18
CAM,68,Kwame Poku,Ghana,Peterborough,22
CAM,66,Lamine Camara,Senegal,FC Metz,19
CAM,65,Lance Duijvestijn,Holland,Almere City FC,24
CAM,78,Lars Stindl,Germany,Karlsruher SC,35
CAM,60,Lasse Wehmeyer,Germany,Heracles Almelo,21
CAM,71,László Kleinheisler,Hungary,Panathinaikos,29
CAM,60,Laurenz Dehl,Germany,Union Berlin,21
CAM,72,Lautaro Acosta,Argentina,Lanús,35
CAM,63,Lee Hyun Ju,Korea Republic,Wehen Wiesbaden,20
CAM,78,Lee Jae Sung,Korea Republic,1. FSV Mainz 05,31
CAM,63,Leo Cordeiro,Brazil,Estrela Amadora,28
CAM,73,Leonardo Bittencourt,Germany,SV Werder Bremen,29
CAM,68,Leonardo Valencia,Chile,Cobresal,32
CAM,70,Levin Öztunalı,Germany,Hamburger SV,27
